time_s,algorithm,memory_kb,flow_id,packets,are,cosine_sim
2,wavesketch,96,211110695338241,1854,1,1
3,wavesketch,96,211110695338241,3867,189.958,0.67746
4,wavesketch,96,211110695338241,5631,252.215,0.840518
4,wavesketch,96,211110695338497,46,1,1
5,wavesketch,96,211110695338241,7391,285.241,0.879673
5,wavesketch,96,211110695338497,89,270.793,0.730527
6,wavesketch,96,211110695338241,9436,306.936,0.875156
6,wavesketch,96,211110695338497,93,359.614,0.997984
7,wavesketch,96,211110695338241,10605,318.895,0.96373
7,wavesketch,96,211110695338497,814,328.648,0.0871218
8,wavesketch,96,211110695338241,11420,335.343,0.982482
8,wavesketch,96,211110695338497,1973,353.982,0.529604
9,wavesketch,96,211110695338241,13292,350.968,0.920968
9,wavesketch,96,211110695338497,2196,367.968,0.986741
10,wavesketch,96,211110695338241,15217,355.263,0.928173
10,wavesketch,96,211110695338497,2237,378.314,0.999362
12,wavesketch,96,211110695338241,15427,358.226,0.998249
12,wavesketch,96,211110695338497,2436,389.939,0.989636
2,wavesketch,128,211110695338241,1854,1,1
3,wavesketch,128,211110695338241,3867,189.958,0.67746
4,wavesketch,128,211110695338241,5631,252.215,0.840518
4,wavesketch,128,211110695338497,46,1,1
5,wavesketch,128,211110695338241,7391,285.241,0.879673
5,wavesketch,128,211110695338497,89,270.793,0.730527
6,wavesketch,128,211110695338241,9436,306.936,0.875156
6,wavesketch,128,211110695338497,93,359.614,0.997984
7,wavesketch,128,211110695338241,10605,318.895,0.96373
7,wavesketch,128,211110695338497,814,328.648,0.0871218
8,wavesketch,128,211110695338241,11420,335.343,0.982482
8,wavesketch,128,211110695338497,1973,353.982,0.529604
9,wavesketch,128,211110695338241,13292,350.968,0.920968
9,wavesketch,128,211110695338497,2196,367.968,0.986741
10,wavesketch,128,211110695338241,15217,355.263,0.928173
10,wavesketch,128,211110695338497,2237,378.314,0.999362
12,wavesketch,128,211110695338241,15427,358.226,0.998249
12,wavesketch,128,211110695338497,2436,389.939,0.989636
2,wavesketch,192,211110695338241,1854,1,1
3,wavesketch,192,211110695338241,3867,189.958,0.67746
4,wavesketch,192,211110695338241,5631,252.215,0.840518
4,wavesketch,192,211110695338497,46,1,1
5,wavesketch,192,211110695338241,7391,285.241,0.879673
5,wavesketch,192,211110695338497,89,270.793,0.730527
6,wavesketch,192,211110695338241,9436,306.936,0.875156
6,wavesketch,192,211110695338497,93,359.614,0.997984
7,wavesketch,192,211110695338241,10605,318.895,0.96373
7,wavesketch,192,211110695338497,814,328.648,0.0871218
8,wavesketch,192,211110695338241,11420,335.343,0.982482
8,wavesketch,192,211110695338497,1973,353.982,0.529604
9,wavesketch,192,211110695338241,13292,350.968,0.920968
9,wavesketch,192,211110695338497,2196,367.968,0.986741
10,wavesketch,192,211110695338241,15217,355.263,0.928173
10,wavesketch,192,211110695338497,2237,378.314,0.999362
12,wavesketch,192,211110695338241,15427,358.226,0.998249
12,wavesketch,192,211110695338497,2436,389.939,0.989636
2,wavesketch,256,211110695338241,1854,1,1
3,wavesketch,256,211110695338241,3867,189.958,0.67746
4,wavesketch,256,211110695338241,5631,252.215,0.840518
4,wavesketch,256,211110695338497,46,1,1
5,wavesketch,256,211110695338241,7391,285.241,0.879673
